NumDynamicObstacles,Algorithm,MonteCarloIndex,ScenarioSeed,Success,Collision,TriggerRatePercent,AvgCPUms,MaxCPUms,StdCPUms,MinDistanceMeter,MinClearanceMeter,ControlEffort,TotalClimbMeter,EstEnergyWh,Steps
5,NP-ET-NMPC,41,35067,1,0,75.3731343283582,1976.38652910448,2855.2718,1134.7922491885,3.39980000164879,1.82223587781707,103.377246136064,10.6493069543145,0.219544748908655,134
5,NP-ET-NMPC,42,35068,1,0,75.7352941176471,1921.98243897059,3004.9958,1094.99761981255,3.73556924818085,1.746138318259,105.208572611028,10.4299737664282,0.221060845731988,136
5,NP-ET-NMPC,43,35069,1,0,75.3731343283582,1881.36758955224,2649.5394,1080.06451180577,3.62142895633977,1.85789302646213,102.415910260067,10.8059140216323,0.220254964617944,134
5,NP-ET-NMPC,44,35070,1,0,75,1871.99421969697,2660.2497,1085.52761490794,2.62586498073268,0.884894680411828,101.834132575079,10.8310321663926,0.217859373844039,132
5,NP-ET-NMPC,45,35071,1,0,74.6268656716418,1861.59243134328,2655.9475,1090.15640637266,3.69749330582166,1.70557871148226,102.450188707132,10.789385367795,0.220178513935429,134
5,NP-ET-NMPC,46,35072,1,0,75.187969924812,1876.70663759398,2651.2925,1082.82593814437,2.85619888199731,1.07246964010248,103.549487630972,10.3500742122351,0.216900732116574,133
5,NP-ET-NMPC,47,35073,1,0,75.187969924812,1878.24048796992,2629.5061,1083.54092535004,3.62358614460245,1.76677172541649,102.218651228003,10.816088055459,0.219048108356203,133
5,NP-ET-NMPC,48,35074,1,0,74.8148148148148,1869.2207637037,2644.102,1089.18729709084,3.60070346115514,1.74320978981531,103.982100552668,10.6135154294983,0.220640992566271,135
5,NP-ET-NMPC,49,35075,1,0,75.7352941176471,1890.11761764706,2654.0828,1074.42519128513,3.45856918119054,1.72441855166382,104.189079064702,10.8469734593169,0.222986174599485,136
5,NP-ET-NMPC,50,35076,1,0,75.3731343283582,1885.07419925373,2909.6977,1082.69630176413,3.40305733259327,1.63586684291678,103.180547582817,10.9503972488769,0.220946899634292,134
5,NP-ET-NMPC,51,35077,1,0,75.5555555555556,1889.97984222222,2674.7115,1079.52854177473,2.96829454939766,1.16859337535048,107.427607827322,12.4682347434402,0.229381748189725,135
5,NP-ET-NMPC,52,35078,1,0,75,1878.86620757576,2648.4249,1089.48053172094,2.6331984739483,0.724416354642746,102.794787824553,10.1862128354123,0.214868494292321,132
5,NP-ET-NMPC,53,35079,1,0,75.5555555555556,1894.71111407407,2701.6766,1082.39832585592,3.28195701346922,1.297041171185,103.308156418628,11.0144694306585,0.222499044006808,135
5,NP-ET-NMPC,54,35080,0,1,54.4117647058823,1369.90399264706,2580.7968,1263.36809032313,1.82407872414854,-0.106717683525723,47.5333194971085,5.14343394647,0.11008348028162,68
5,NP-ET-NMPC,55,35081,1,0,75.5555555555556,1898.95275777778,2646.8822,1084.81155683745,2.43257119603576,0.432765600917678,105.480964354464,10.8540677565858,0.221798023664436,135
5,NP-ET-NMPC,56,35082,1,0,75.187969924812,1880.17391428571,2621.2575,1084.73951084801,1.97444032345179,0.316985233362228,102.400270455672,10.7291255123052,0.218645905030307,133
5,NP-ET-NMPC,57,35083,1,0,75,1872.44776969697,2627.2689,1085.67724260404,3.95378262644301,2.02413929956534,101.955843695537,10.342503607287,0.21557995226664,132
5,NP-ET-NMPC,58,35084,1,0,74.4360902255639,1857.74747969925,2628.9242,1093.43527790797,2.90151878083323,1.24559179788293,102.313684056257,10.3457673651242,0.216853150686267,133
5,NP-ET-NMPC,59,35085,1,0,75,1876.48566590909,2690.4694,1088.29049605926,4.11509004682076,2.09194347617762,102.586830611769,10.4509974797987,0.216100795573988,132
5,NP-ET-NMPC,60,35086,1,0,74.4360902255639,1855.39611578947,2627.1537,1091.96295207259,3.18790123988017,1.57833383010405,102.530336836797,10.7083050018848,0.218551533867083,133
5,NP-ET-NMPC,61,35087,1,0,75.3731343283582,1882.69740447761,2615.7709,1080.72260634598,3.84203159434248,1.84478714489808,103.072693961438,10.4152034296246,0.218444383188644,134
5,NP-ET-NMPC,62,35088,0,1,55.0724637681159,1375.85184492754,2568.3186,1251.89087164999,2.01510232162062,-0.00979302154301642,48.4333194971085,4.17695203168569,0.106838629051128,69
5,NP-ET-NMPC,63,35089,1,0,75.187969924812,1877.43481954887,2639.3442,1083.23436107515,4.52100227711441,2.74995221982221,101.613305374572,10.6026968481724,0.218037814443516,133
5,NP-ET-NMPC,64,35090,0,1,55.7142857142857,1394.99115857143,2590.6924,1252.81981589518,1.70521685746308,-0.169413095615974,49.2084469284487,5.21842584439031,0.112971024630221,70
5,NP-ET-NMPC,65,35091,1,0,75.187969924812,1876.5604556391,2621.8398,1082.58881590737,4.30824975741418,2.46281266312082,101.175866234609,10.4643357685272,0.217381749673111,133
5,NP-ET-NMPC,66,35092,1,0,75.187969924812,1880.41723007519,2681.0639,1084.85901304452,3.67758939882885,1.8851957449168,102.294422351008,10.7465477065272,0.218724939386069,133
5,NP-ET-NMPC,67,35093,1,0,75.187969924812,1878.22693458647,2649.3171,1083.64441435197,2.56417294224608,0.737828643754234,101.35412856995,10.7364764682683,0.21865699689856,133
5,NP-ET-NMPC,68,35094,1,0,75.187969924812,1881.56322781955,3237.4245,1087.44975850744,4.51075078162427,2.78926568634944,101.584936392049,10.4902513429456,0.217511902875837,133
5,NP-ET-NMPC,69,35095,1,0,75.5555555555556,1884.95355037037,2599.445,1076.58293665274,3.99421652568323,2.12002498108871,104.45823461242,10.6570001738934,0.220854709200543,135
5,NP-ET-NMPC,70,35096,1,0,75.3731343283582,1880.82900373134,2640.6059,1079.68014133932,3.63264026677951,1.65902308755857,102.992339183212,10.6070657859139,0.219338868819857,134
5,NP-ET-NMPC,71,35097,0,1,54.4117647058823,1358.49902794118,2542.0744,1252.78585123458,1.6928638387479,-0.21709580131374,47.3537398713887,5.76834499398389,0.112998716945229,68
5,NP-ET-NMPC,72,35098,0,1,55.0724637681159,1377.04000869565,2563.6632,1252.94106817741,1.84630989017342,-0.0843505325342846,48.4333194971085,5.48471491746998,0.112947749960434,69
5,NP-ET-NMPC,73,35099,1,0,75.3731343283582,1884.99705522388,2657.8286,1082.20004063589,2.19235179866222,0.538238464958548,102.336677789892,10.6454579984794,0.21950364504537,134
5,NP-ET-NMPC,74,35100,1,0,80,2011.47758529412,2627.5734,1009.45950750714,2.92602374922762,1.14893769631996,135.790955646891,11.063426618507,0.26719958399575,170
5,NP-ET-NMPC,75,35101,1,0,74.8091603053435,1868.57985954198,2635.0328,1089.04430476767,2.79234203723442,0.82199459843783,102.037370170563,10.2972976426323,0.214120587531198,131
5,NP-ET-NMPC,76,35102,1,0,74.6268656716418,1869.17310447761,2649.7573,1094.65266182111,3.24648777924702,1.62531964238353,102.323793339476,10.8286211766067,0.220358992427787,134
5,NP-ET-NMPC,77,35103,1,0,74.8148148148148,1869.11774518518,2633.4135,1089.03135491154,2.95322694640453,1.16022691422684,105.240858824448,10.8321843991823,0.221690461444978,135
5,NP-ET-NMPC,78,35104,1,0,75.5555555555556,1892.35138074074,2698.9797,1081.10524583769,2.22050137483448,0.261602421566118,103.683672471314,11.3439012790723,0.224046306156997,135
5,NP-ET-NMPC,79,35105,1,0,75.3731343283582,1882.56884925373,2627.8081,1080.66282528582,3.7396018017773,1.807064781533,103.15954397643,10.5531891384384,0.219090903571578,134
5,NP-ET-NMPC,80,35106,1,0,75.3731343283582,1882.8558119403,2616.5857,1080.88816192439,1.92869556811522,0.0862233407731487,105.348409337747,11.0186141529734,0.221313744734808,134
5,NP-ET-NMPC,81,35107,1,0,74.6268656716418,1860.46479477612,2612.8929,1089.34710226773,3.38530618859945,1.77236957429532,103.918614925703,10.6677708386533,0.219643032043042,134
5,NP-ET-NMPC,82,35108,1,0,75,1870.57217205882,2635.8543,1084.5207891627,2.70964709278187,1.00427272420707,104.281860192565,10.99053604081,0.223658878747301,136
5,NP-ET-NMPC,83,35109,1,0,75.187969924812,1873.72315714286,2615.6106,1081.01831039327,4.3664286638828,2.37281407053421,101.342320432303,10.4540850416529,0.217337563116884,133
5,NP-ET-NMPC,84,35110,1,0,75.187969924812,1879.19377443609,3101.5327,1085.62185142,2.14146619166671,0.288223821177215,102.925074550052,10.8598561146478,0.219268266014459,133
5,NP-ET-NMPC,85,35111,0,1,54.4117647058823,1358.57699852941,2537.5569,1252.87543217768,1.78319725769994,-0.026538697009119,46.6125335041453,5.51723344945797,0.111809196048909,68
5,NP-ET-NMPC,86,35112,1,0,75,1872.48448257576,2668.3689,1085.81571096097,2.19501741021857,0.364380129598975,101.72381351974,10.4873829660933,0.216251589616649,132
5,NP-ET-NMPC,87,35113,1,0,75.3731343283582,1879.16257462687,2622.298,1078.73299595472,2.71789882787657,1.01818562642011,104.03859883532,11.0999095049873,0.221664403264876,134
