ExperimentType,R_on,R_off,T_ref,RepeatIndex,TriggerRatePercent,AvgCPUms,MaxCPUms,StdCPUms,MinDistanceMeter,MinClearanceMeter,Success,Collision,SwitchCount,Steps
R_on,0.5,0.2,5,21,80.3030303030303,1977.45705454545,2566.2469,983.356455268454,4.49259826702758,2.67094861373534,1,0,2,132
R_on,0.5,0.2,5,22,83.6879432624114,2066.69781914894,2624.0365,916.386478268749,3.47207431620672,1.67251637766324,1,0,2,141
R_on,0.5,0.2,5,23,79.3893129770992,1959.13020534351,2610.0577,1002.59741365335,3.53454465669021,1.93986000518091,1,0,2,131
R_on,0.5,0.2,5,24,81.203007518797,2003.01148571429,2592.2133,967.906167619507,4.58608090351682,2.56848028467981,1,0,2,133
R_on,0.5,0.2,5,25,73.0769230769231,1807.35864679487,2620.082,1101.16982850444,3.70780650784037,1.76423965846933,1,0,2,156
R_on,0.6,0.3,5,1,75,1851.97093560606,2582.8803,1073.67034811064,4.8365753927771,2.68728335419887,1,0,2,132
R_on,0.6,0.3,5,2,75.6944444444444,1884.29193263889,2729.6038,1072.4461942879,3.7904879400942,2.20694108014624,1,0,2,144
R_on,0.6,0.3,5,3,77.9411764705882,1926.75358235294,2598.3854,1029.1953877279,3.9501855626907,2.05002698697193,1,0,2,136
R_on,0.6,0.3,5,4,74.4525547445255,1844.28558175182,2829.1539,1085.09209374273,3.75382090959965,1.99287521434019,1,0,2,137
R_on,0.6,0.3,5,5,75.5725190839695,1868.78386641221,2568.8303,1066.89688185438,4.96326174924558,2.9573141242418,1,0,2,131
R_on,0.6,0.3,5,6,73.4848484848485,1812.0819030303,2611.2548,1092.88284728541,5.01177297945649,3.16766395702419,1,0,2,132
R_on,0.6,0.3,5,7,75.187969924812,1873.51830827068,3236.0008,1083.10879543968,3.14931514739869,1.42559897799066,1,0,2,133
R_on,0.6,0.3,5,8,74.2424242424242,1836.0117469697,2588.5607,1085.988537275,3.60504855559525,1.9676355391601,1,0,2,132
R_on,0.6,0.3,5,9,80.2469135802469,1990.41722407407,2610.43,991.204148245994,4.10013949971544,2.39893678953884,1,0,2,162
R_on,0.6,0.3,5,10,78.5185185185185,1941.24359777778,2599.1649,1019.54954868142,3.82754456560965,1.88585009303122,1,0,2,135
R_on,0.6,0.3,5,11,75.3521126760563,1869.23807042254,2618.9591,1073.54171503735,4.14321935043599,2.17437583558525,1,0,2,142
R_on,0.6,0.3,5,12,78.7096774193548,1960.62173096774,2643.0601,1023.80450850683,2.49086425659124,0.912279201488392,1,0,2,155
R_on,0.6,0.3,5,13,75.3623188405797,1870.34480072464,2615.3781,1073.86167334674,3.56303595955316,1.87498581160941,1,0,2,138
R_on,0.6,0.3,5,14,76.1194029850746,1883.30465820896,2575.0259,1059.15430070129,3.41288944006673,1.41641382034505,1,0,2,134
R_on,0.6,0.3,5,15,74.8091603053435,1852.19868167939,2631.3403,1079.41958979118,3.95460376342049,2.35186020381048,1,0,2,131
R_on,0.6,0.3,5,16,75.5725190839695,1873.05080839695,2601.2365,1069.46701427455,4.72749916911076,2.81261407961367,1,0,2,131
R_on,0.6,0.3,5,17,76.9230769230769,1904.35661692308,2610.3763,1047.5676763223,2.90249888158402,1.2069162363102,1,0,2,130
R_on,0.6,0.3,5,18,76.1194029850746,1884.20345074627,2632.1245,1059.85860077428,3.91904142889274,2.27223755260813,1,0,2,134
R_on,0.6,0.3,5,19,64.8148148148148,1621.80277592593,3461.0027,1201.56836433407,3.15304725572895,1.27380200345423,1,0,2,162
R_on,0.6,0.3,5,20,78.7671232876712,1950.34500136986,2616.0574,1016.72625424467,3.89986589541003,2.08421757907764,1,0,2,146
R_on,0.6,0.3,5,21,75.968992248062,1881.69223178295,2597.3518,1062.90642794985,3.22221619780269,1.63968127611225,1,0,2,129
R_on,0.6,0.3,5,22,75.3731343283582,1868.16278208955,2628.4368,1072.36659787934,4.84275680742311,3.21429406281142,1,0,2,134
R_on,0.6,0.3,5,23,75.3846153846154,1868.96882615385,2653.0316,1072.76631722197,4.13992245418841,2.54217396362941,1,0,2,130
R_on,0.6,0.3,5,24,76.4705882352941,1892.54134705882,2575.7545,1054.0092986744,3.77449233938089,1.86999050548926,1,0,2,136
R_on,0.6,0.3,5,25,75.187969924812,1860.65205037594,2613.2013,1073.45774814723,3.49688999208959,1.6832875385062,1,0,2,133
R_on,0.7,0.4,5,1,9.9,245.4573898,2615.7087,740.940000715519,4.17795547594311,2.29311996016304,0,0,2,1000
R_on,0.7,0.4,5,2,9,222.924145399999,2595.6936,709.2747383652,3.38218180169222,1.36321303231118,0,0,2,1000
R_on,0.7,0.4,5,3,8.9,220.644864399999,2596.8837,706.340032123483,3.28196780528277,1.37255920349022,0,0,2,1000
R_on,0.7,0.4,5,4,8.4,207.823317799999,2596.9756,686.670808922452,3.34325877065999,1.63460563195402,0,0,2,1000
R_on,0.7,0.4,5,5,9.5,235.511103599999,2606.315,727.338219535674,3.90842842799648,2.27262189128667,0,0,2,1000
R_on,0.7,0.4,5,6,12.2,303.748787800001,2608.6213,815.358683328999,3.06212736559741,1.48250980688557,0,0,2,1000
R_on,0.7,0.4,5,7,10.6,263.494466400001,2583.816,765.685273859572,3.43277840803333,1.42336765106948,0,0,2,1000
R_on,0.7,0.4,5,8,8.6,213.028624399999,2594.941,694.899185828937,3.36035546288376,1.58910100528533,0,0,2,1000
R_on,0.7,0.4,5,9,8.6,213.028773499999,2632.3422,694.909782675858,2.6788189874433,0.97895217385633,0,0,2,1000
R_on,0.7,0.4,5,10,9.6,238.899527599999,2804.5433,733.631301365131,3.83897210823246,2.18809703937737,0,0,2,1000
R_on,0.7,0.4,5,11,9.4,232.871360899999,2606.8733,723.403341607981,4.38136438472141,2.66295640340878,0,0,2,1000
R_on,0.7,0.4,5,12,9.1,224.936452499999,2603.7653,711.351644374757,4.05197517407993,2.40756689281774,0,0,2,1000
R_on,0.7,0.4,5,13,9.3,230.566559399999,2653.7721,720.486838548865,4.57207141106482,2.68707350519271,0,0,2,1000
R_on,0.7,0.4,5,14,9.4,232.986351199999,2600.7292,723.761829159207,4.01653358388635,2.15356372372864,0,0,2,1000
R_on,0.7,0.4,5,15,9.7,240.196586499999,2640.0144,733.318783180796,3.86392984171599,2.16523537954901,0,0,2,1000
R_on,0.7,0.4,5,16,8.9,220.967097999999,2734.1013,707.450682001798,3.71108095461865,2.07769855526002,0,0,2,1000
R_on,0.7,0.4,5,17,72.2627737226277,1788.2344459854,2599.0665,1112.31913094379,5.2129123222195,3.22381079916229,1,0,2,137
R_on,0.7,0.4,5,18,9.8,242.624683699999,2577.2361,736.510076769296,4.07394251297042,2.18014742427925,0,0,2,1000
R_on,0.7,0.4,5,19,72.5352112676056,1800.66328380282,2596.1376,1112.391737637,3.68171207662103,1.6665118332391,1,0,2,142
R_on,0.7,0.4,5,20,8.8,218.616753899999,2586.5643,704.212526062699,3.64594951541711,1.84359020139471,0,0,2,1000
