Algorithm,RepeatIndex,ScenarioSeed,NumDynamicObstacles,NumStaticBuildings,Success,Collision,MetricValid,FailureReason,TriggerRatePercent,AvgCPUms,MaxCPUms,StdCPUms,MinDistanceMeter,MinClearanceMeter,ControlEffort,TotalClimbMeter,PathLengthMeter,EstimatedEnergyJ,EstimatedEnergyWh,Steps
NP-ET-NMPC,19,2045,5,15,1,0,1,Success,74.8148148148148,1859.65880518518,2655.5413,1083.26885670896,1.77149016354788,0.109312428490931,105.769733199745,11.3151613729902,60.1228779350596,2879.40032297599,0.799833423048887,135
NP-ET-NMPC,20,2046,5,15,1,0,1,Success,75.3731343283582,1871.30039701493,2651.2839,1073.99441543227,2.96641094081595,1.08035234479512,102.327418646595,10.6831706827057,59.3163503466349,2841.23034671607,0.789230651865574,134
NP-ET-NMPC,21,2047,5,15,0,1,0,Collision,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NP-ET-NMPC,22,2048,5,15,1,0,1,Success,74.6268656716418,1866.62305149254,2785.3259,1093.48499638577,4.47576608806112,2.59602689968959,102.056806673185,10.7585727124339,59.4843992477555,2842.27418115132,0.789520605875366,134
NP-ET-NMPC,23,2049,5,15,1,0,1,Success,75.7352941176471,1877.38218235294,2592.0258,1066.77612409428,4.65313948731938,2.69786649998541,104.898661891676,10.8247342969546,59.4603161846858,2885.34870261148,0.80148575072541,136
NP-ET-NMPC,24,2050,5,15,1,0,1,Success,74.8148148148148,1881.71808592593,3139.7161,1100.5517087962,3.74840367223461,1.87206251925788,103.369306809353,10.7574395281378,59.6378376613585,2862.87536027092,0.79524315563081,135
NP-ET-NMPC,25,2051,5,15,0,1,0,Collision,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NP-ET-NMPC,26,2052,5,15,0,1,0,Collision,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NP-ET-NMPC,27,2053,5,15,0,1,0,Collision,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NP-ET-NMPC,28,2054,5,15,1,0,1,Success,74.6268656716418,1853.20457910448,2710.8674,1085.13256863441,3.66250488891583,1.74446891354171,103.258113185441,10.8313230773039,59.4284947325372,2846.20611077449,0.79061280854847,134
NP-ET-NMPC,29,2055,5,15,1,0,1,Success,74.6268656716418,1849.29024477612,2623.6151,1082.56702611185,3.6631751420864,1.96770073459728,102.134164948051,10.8165677087144,59.4930047371839,2843.64803537286,0.789902232048017,134
NP-ET-NMPC,30,2056,5,15,1,0,1,Success,75,1860.7064875,2664.8893,1078.62159750286,4.82368719088395,3.07190303118937,103.764431082208,10.7726237519693,59.557931809711,2881.98480289331,0.800551334137032,136
SE-ET-NMPC,1,2027,5,15,1,0,1,Success,77.3722627737226,1908.42791751825,2574.0485,1036.05818249134,3.66918261361618,1.65623895798575,109.102823494465,12.6998445532517,61.5683017541095,2951.17452213336,0.819770700592599,137
SE-ET-NMPC,2,2028,5,15,0,1,0,Collision,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
